id;name;description;icon;icon_content_type
1;category;vaguely;../fake-data/blob/hipster.png;image/png
2;even under;duh;../fake-data/blob/hipster.png;image/png
3;apropos;dimly like;../fake-data/blob/hipster.png;image/png
4;dynamo protein thorough;keelhaul disease clue;../fake-data/blob/hipster.png;image/png
5;amongst besides;bustle definite spotlight;../fake-data/blob/hipster.png;image/png
6;bewitched brr;selfishly into gee;../fake-data/blob/hipster.png;image/png
7;who geez;unless;../fake-data/blob/hipster.png;image/png
8;sycamore oof;zowie bucketful furthermore;../fake-data/blob/hipster.png;image/png
9;useful poise;pecan;../fake-data/blob/hipster.png;image/png
10;triumphantly;coincide dynamics;../fake-data/blob/hipster.png;image/png
