id;title;description;tmbd_id;thumbnail;thumbnail_content_type;banner;banner_content_type;release_date;video_url;duration;youtube_trailer;views;director;average_rating
1;via branch;../fake-data/blob/hipster.txt;toward;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T02:09:56;well-groomed drat weighty;demand;agency but;7037;after inasmuch;15512.91
2;brave stimulating;../fake-data/blob/hipster.txt;idolized;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T06:30:33;er starchy up;safe;softdrink;29417;lean which;17016.71
3;given;../fake-data/blob/hipster.txt;disclaimer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T11:06:05;radiant;knight;dumb;6332;eek;23185.52
4;incidentally finally scornful;../fake-data/blob/hipster.txt;separate illiterate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-15T18:29:53;angelic whoever;consequently;indeed sparse;2901;counter;22167.71
5;trail watch because;../fake-data/blob/hipster.txt;urgency;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T07:35:41;frivolous unto like;dual;serpentine;5197;strictly acculturate uh-huh;17529.06
6;over whose;../fake-data/blob/hipster.txt;yippee;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T07:42:05;yam tightly;bah but recur;equally;14153;into because er;8052.97
7;demobilise thick;../fake-data/blob/hipster.txt;how;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T08:06:10;site unblock brr;nor;and inborn retell;11372;how alienate;2173.51
8;agonizing armor;../fake-data/blob/hipster.txt;except;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T12:38:43;as;smug;apology octet;14429;whereas slob prison;31711.04
9;blaring fooey;../fake-data/blob/hipster.txt;till sympathetically;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-15T17:34:49;geez athwart indeed;abaft;unexpectedly subdued pfft;26926;invade at sequel;1725.23
10;dutiful weight cinnamon;../fake-data/blob/hipster.txt;after;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-16T11:04:57;collar;cable;plus while as;13390;unsteady deadline;7352.93
